ParkName,Rank,Value,PercentOfTotal
Eleanor Roosevelt NHS,287,47630,0.0001
African Burial Ground NM,288,47427,0.0001
Chaco Culture NHP,289,47342,0.0001
Eisenhower NHS,290,47277,0.0001
Marsh-Billings-Rockefeller NHP,291,45979,0.0001
Big Hole NB,292,45861,0.0001
Horseshoe Bend NMP,293,45372,0.0001
Pecos NHP,294,43834,0.0001
Fort Laramie NHS,295,42892,0.0001
Thomas Edison NHP,296,42224,0.0001
James A. Garfield NHS,297,41305,0.0001
New Orleans Jazz NHP,298,41049,0.0001
John Muir NHS,299,40725,0.0001
Tumacacori NHP,300,39704,0.0001
Ulysses S. Grant NHS,301,39449,0.0001
Women's Rights NHP,302,39064,0.0001
Lake Chelan NRA,303,38785,0.0001
Weir Farm NHS,304,38700,0.0001
Chamizal NMEM,305,38228,0.0001
North Cascades NP,306,38208,0.0001
Bluestone NSR,307,37663,0.0001
Buck Island Reef NM,308,37085,0.0001
Sagamore Hill NHS,309,36738,0.0001
Tuskegee Institute NHS,310,36395,0.0001
Charles Pinckney NHS,311,35495,0.0001
Hovenweep NM,312,35399,0.0001
Friendship Hill NHS,313,34159,0.0001
Tallgrass Prairie NPRES,314,33750,0.0001
William Howard Taft NHS,315,32396,0.0001
Saint-Gaudens NHP,316,31759,0.0001
Salinas Pueblo Missions NM,317,31672,0.0001
Harry S Truman NHS,318,30746,0.0001
Tuskegee Airmen NHS,319,30097,0.0001
Cane River Creole NHP,320,29922,0.0001
Tonto NM,321,28853,0.0001
Arkansas Post NMEM,322,28519,0.0001
Hampton NHS,323,28234,0.0001
Pipe Spring NM,324,27482,0.0001
Theodore Roosevelt Inaugural NHS,325,26994,0.0001
Fort Larned NHS,326,26958,0.0001
Isle Royale NP,327,26410,0.0001
Theodore Roosevelt Birthplace NHS,328,25978,0.0001
Grant-Kohrs Ranch NHS,329,25043,0.0001
John F. Kennedy NHS,330,24838,0.0001
Booker T. Washington NM,331,24640,0.0001
Fort Scott NHS,332,24068,0.0001
Hagerman Fossil Beds NM,333,23768,0.0001
Bent's Old Fort NHS,334,21674,0.0001
Brown v. Board of Education NHS,335,21413,0.0001
Springfield Armory NHS,336,20979,0.0001
Martin Van Buren NHS,337,20623,0.0001
Fossil Butte NM,338,20554,0.0001
Keweenaw NHP,339,20535,0.0001
Saint Paul's Church NHS,340,18537,0.0001
Noatak NPRES,341,17216,0.0001
Lake Clark NP & PRES,342,17157,0.0001
Agate Fossil Beds NM,343,16657,0.0001
Russell Cave NM,344,16642,0.0001
Cesar E. Chavez NM,345,16490,0.0001
Cape Krusenstern NM,346,16226,0
Kobuk Valley NP,347,15766,0
Edgar Allan Poe NHS,348,15527,0
Charles Young Buffalo Soldiers NM,349,14106,0
Minidoka NHS,350,13647,0
Fort Union Trading Post NHS,351,12967,0
Saint Croix Island IHS,352,11613,0
Fort Union NM,353,11063,0
First Ladies NHS,354,10913,0
Gates of the Arctic NP & PRES,355,10518,0
Knife River Indian Villages NHS,356,10354,0
Belmont-Paul Women's Equality NM,357,9913,0
Maggie L. Walker NHS,358,9602,0
Washita Battlefield NHS,359,9119,0
Alibates Flint Quarries NM,360,8847,0
President W.J. Clinton Birthplace Home NHS,361,8758,0
Saugus Iron Works NHS,362,8150,0
Thomas Stone NHS,363,8020,0
Frederick Law Olmsted NHS,364,7791,0
Fort Bowie NHS,365,7577,0
Sand Creek Massacre NHS,366,5701,0
Salt River Bay NHP & Ecological Pres,367,5215,0
Clara Barton NHS,368,4100,0
Mary McLeod Bethune Council House NHS,369,3788,0
Nicodemus NHS,370,3540,0
Eugene O'Neill NHS,371,2944,0
Bering Land Bridge NPRES,372,2642,0
Carter G. Woodson Home NHS,373,2381,0
Thaddeus Kosciuszko NMEM,374,1921,0
Yukon-Charley Rivers NPRES,375,1114,0
Port Chicago Naval Magazine NMEM,376,830,0
Rio Grande W&SR,377,324,0
Aniakchak NM & PRES,378,100,0
