State,Unit Code,Unit Name,Unit Type, Visitors ,Year
MD,ANTI,Antietam National Battlefield,National Battlefield," 610,674 ",1987
FL,BISC,Biscayne National Park,National Park," 607,968 ",1987
TX,PAIS,Padre Island National Seashore,National Seashore," 605,977 ",1987
AK,DENA,Denali National Park,National Park," 575,013 ",1987
AK,DENA,Denali National Preserve,National Park," 575,013 ",1987
NY,FIIS,Fire Island National Seashore,National Seashore," 570,507 ",1987
NM,WHSA,White Sands National Monument,National Monument," 567,613 ",1987
SD,WICA,Wind Cave National Park,National Park," 563,720 ",1987
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 546,360 ",1987
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park," 545,667 ",1987
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area," 517,811 ",1987
MD,CATO,Catoctin Mountain Park,Other Designation," 511,010 ",1987
NJ,MORR,Morristown National Historical Park,National Historical Park," 502,039 ",1987
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 481,121 ",1987
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore," 474,934 ",1987
CA,LAVO,Lassen Volcanic National Park,National Park," 472,431 ",1987
UT,ARCH,Arches National Park,National Park," 468,916 ",1987
OR,CRLA,Crater Lake National Park,National Park," 460,550 ",1987
VA,PETE,Petersburg National Battlefield,National Battlefield," 460,280 ",1987
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area," 452,103 ",1987
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 449,423 ",1987
VA,NERI,New River Gorge National River,National River," 436,791 ",1987
UT,CEBR,Cedar Breaks National Monument,National Monument," 430,559 ",1987
UT,CARE,Capitol Reef National Park,National Park," 428,808 ",1987
ND,THRO,Theodore Roosevelt National Park,National Park," 424,846 ",1987
IL,LIHO,Lincoln Home National Historic Site,National Historic Site," 418,356 ",1987
VA,PRWI,Prince William Forest Park,Park," 418,145 ",1987
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park," 415,580 ",1987
CO,DINO,Dinosaur National Monument,National Monument," 412,089 ",1987
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 411,391 ",1987
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 381,504 ",1987
GA,FOPU,Fort Pulaski National Monument,National Monument," 381,468 ",1987
CO,COLM,Colorado National Monument,National Monument," 368,250 ",1987
FL,FOMA,Fort Matanzas National Monument,National Monument," 360,278 ",1987
NY,FEHA,Federal Hall National Memorial,National Memorial," 344,852 ",1987
MS,SHIL,Shiloh National Battlefield,National Battlefield," 336,129 ",1987
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 336,075 ",1987
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park," 330,848 ",1987
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 328,854 ",1987
WY,DETO,Devils Tower National Monument,National Monument," 328,012 ",1987
MD,GREE,Greenbelt Park,Other Designation," 325,231 ",1987
NC,WRBR,Wright Brothers National Memorial,National Memorial," 315,957 ",1987
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 292,825 ",1987
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 292,132 ",1987
SC,FOSU,Fort Sumter National Monument,National Monument," 290,192 ",1987
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 285,439 ",1987
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 282,944 ",1987
MO,WICR,Wilson's Creek National Battlefield,National Battlefield," 278,170 ",1987
GA,FOFR,Fort Frederica National Monument,National Monument," 276,136 ",1987
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 265,046 ",1987
NM,BAND,Bandelier National Monument,National Monument," 261,527 ",1987
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park," 257,265 ",1987
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 249,898 ",1987
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 247,089 ",1987
WA,NEPE,Nez Perce National Historical Park,National Historical Park," 238,305 ",1987
TX,BIBE,Big Bend National Park,National Park," 227,921 ",1987
CO,GRSA,Great Sand Dunes National Park,National Park," 225,937 ",1987
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 225,937 ",1987
MD,FOWA,Fort Washington Park,Other Designation," 225,272 ",1987
TX,CHAM,Chamizal National Memorial,National Memorial," 220,987 ",1987
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial," 219,075 ",1987
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site," 218,664 ",1987
SC,KIMO,Kings Mountain National Military Park,National Military Park," 218,080 ",1987
UT,RABR,Rainbow Bridge National Monument,National Monument," 210,708 ",1987
FL,DESO,De Soto National Memorial,National Memorial," 209,774 ",1987
AZ,WUPA,Wupatki National Monument,National Monument," 208,953 ",1987
CA,PINN,Pinnacles National Park,National Park," 204,705 ",1987
ID,CRMO,Craters of the Moon National Monument,National Monument," 202,800 ",1987
MN,VOYA,Voyageurs National Park,National Park," 201,727 ",1987
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site," 199,819 ",1987
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site," 190,582 ",1987
AZ,CAGR,Casa Grande Ruins National Monument,National Monument," 179,915 ",1987
VA,GEWA,George Washington Birthplace National Monument,National Monument," 175,420 ",1987
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 174,798 ",1987
CA,CHIS,Channel Islands National Park,National Park," 174,607 ",1987
UT,CANY,Canyonlands National Park,National Park," 172,384 ",1987
GA,OCMU,Ocmulgee National Monument,National Monument," 164,059 ",1987
NE,SCBL,Scotts Bluff National Monument,National Monument," 161,896 ",1987
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 158,260 ",1987
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River," 157,753 ",1987
TX,GUMO,Guadalupe Mountains National Park,National Park," 156,344 ",1987
TN,STRI,Stones River National Battlefield,National Battlefield," 151,748 ",1987
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 149,971 ",1987
CO,FLFO,Florissant Fossil Beds National Monument,National Monument," 143,597 ",1987
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial," 143,164 ",1987
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 142,498 ",1987
SD,JECA,Jewel Cave National Monument,National Monument," 141,749 ",1987
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore," 137,341 ",1987
UT,TICA,Timpanogos Cave National Monument,National Monument," 137,279 ",1987
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site," 132,047 ",1987
AK,GLBA,Glacier Bay National Park,National Park," 130,926 ",1987
AK,GLBA,Glacier Bay National Preserve,National Preserve," 130,926 ",1987
GA,ANDE,Andersonville National Historic Site,National Historic Site," 130,114 ",1987
AR,FOSM,Fort Smith National Historic Site,National Historic Site," 129,293 ",1987
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site," 128,870 ",1987
NY,SARA,Saratoga National Historical Park,National Historical Park," 128,776 ",1987
VI,CHRI,Christiansted National Historic Site,National Historic Site," 125,326 ",1987
MO,GWCA,George Washington Carver National Monument,National Monument," 120,544 ",1987
IN,GERO,George Rogers Clark National Historical Park,National Historical Park," 119,724 ",1987
CA,DEPO,Devils Postpile National Monument,National Monument," 118,913 ",1987
PA,EISE,Eisenhower National Historic Site,National Historic Site," 118,346 ",1987
OR,JODA,John Day Fossil Beds National Monument,National Monument," 117,346 ",1987
MN,PIPE,Pipestone National Monument,National Monument," 117,053 ",1987
WA,WHMI,Whitman Mission National Historic Site,National Historic Site," 115,495 ",1987
AZ,WACA,Walnut Canyon National Monument,National Monument," 109,001 ",1987
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site," 104,801 ",1987
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument," 102,944 ",1987
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park," 102,155 ",1987
MO,HSTR,Harry S Truman National Historic Site,National Historic Site," 101,685 ",1987
AR,PERI,Pea Ridge National Military Park,National Military Park," 98,688 ",1987
AZ,TUZI,Tuzigoot National Monument,National Monument," 96,444 ",1987
AK,SITK,Sitka National Historical Park,National Historical Park," 95,060 ",1987
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site," 93,289 ",1987
VI,BUIS,Buck Island Reef National Monument,National Monument," 93,015 ",1987
SC,COWP,Cowpens National Battlefield,National Battlefield," 90,786 ",1987
NC,CALO,Cape Lookout National Seashore,National Seashore," 88,898 ",1987
UT,NABR,Natural Bridges National Monument,National Monument," 88,243 ",1987
MD,PISC,Piscataway Park,Other Designation," 87,658 ",1987
IA,EFMO,Effigy Mounds National Monument,National Monument," 87,634 ",1987
WY,FOLA,Fort Laramie National Historic Site,National Historic Site," 85,236 ",1987
FL,FOCA,Fort Caroline National Memorial,National Memorial," 84,457 ",1987
AZ,TONT,Tonto National Monument,National Monument," 80,906 ",1987
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 77,095 ",1987
CA,LABE,Lava Beds National Monument,National Monument," 75,048 ",1987
KS,FOSC,Fort Scott National Historic Site,National Historic Site," 74,496 ",1987
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site," 69,640 ",1987
PA,JOFL,Johnstown Flood National Memorial,National Memorial," 69,414 ",1987
NY,GEGR,General Grant National Memorial,National Memorial," 69,220 ",1987
NM,AZRU,Aztec Ruins National Monument,National Monument," 65,459 ",1987
NV,GRBA,Great Basin National Park,National Park," 63,532 ",1987
AZ,TUMA,Tumacacori National Historical Park,National Historical Park," 63,327 ",1987
TX,BITH,Big Thicket National Preserve,National Preserve," 62,460 ",1987
AZ,NAVA,Navajo National Monument,National Monument," 62,441 ",1987
AZ,CHIR,Chiricahua National Monument,National Monument," 61,895 ",1987
AR,ARPO,Arkansas Post National Memorial,National Memorial," 60,593 ",1987
AK,KEFJ,Kenai Fjords National Park,National Park," 60,428 ",1987
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 57,988 ",1987
NM,ELMO,El Morro National Monument,National Monument," 56,426 ",1987
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific," 55,914 ",1987
AZ,CORO,Coronado National Memorial,National Memorial," 55,793 ",1987
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site," 55,196 ",1987
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site," 54,945 ",1987
TX,FODA,Fort Davis National Historic Site,National Historic Site," 52,237 ",1987
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 47,688 ",1987
MI,GRPO,Grand Portage National Monument,National Monument," 47,251 ",1987
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 46,750 ",1987
NY,HAGR,Hamilton Grange National Memorial,National Memorial," 46,281 ",1987
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site," 46,096 ",1987
NY,FOST,Fort Stanwix National Monument,National Monument," 45,338 ",1987
NM,PECO,Pecos National Historical Park,National Historical Park," 45,320 ",1987
NM,GICL,Gila Cliff Dwellings National Monument,National Monument," 44,404 ",1987
UT,GOSP,Golden Spike National Historic Site,National Historic Site," 44,288 ",1987
KS,FOLS,Fort Larned National Historic Site,National Historic Site," 43,565 ",1987
NE,HOME,Homestead National Monument of America,National Monument," 42,671 ",1987
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 41,778 ",1987
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site," 41,194 ",1987
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 41,026 ",1987
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site," 40,080 ",1987
SC,NISI,Ninety Six National Historic Site,National Historic Site," 39,707 ",1987
NM,CAVO,Capulin Volcano National Monument,National Monument," 38,849 ",1987
AK,KATM,Katmai National Park,National Park," 38,212 ",1987
AK,KATM,Katmai National Preserve,National Preserve," 38,212 ",1987
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site," 36,227 ",1987
AZ,PISP,Pipe Spring National Monument,National Monument," 35,648 ",1987
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 35,093 ",1987
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site," 34,629 ",1987
DC,THIS,Theodore Roosevelt Island,National Memorial," 33,739 ",1987
CA,JOMU,John Muir National Historic Site,National Historic Site," 33,712 ",1987
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site," 33,474 ",1987
MT,BIHO,Big Hole National Battlefield,National Battlefield," 32,694 ",1987
MI,ISRO,Isle Royale National Park,National Park," 31,760 ",1987
AK,WRST,Wrangell-St. Elias National Park,National Park," 29,191 ",1987
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve," 29,191 ",1987
NY,ELRO,Eleanor Roosevelt National Historic Site,National Historic Site," 28,814 ",1987
GA,CUIS,Cumberland Island National Seashore,National Seashore," 27,879 ",1987
MD,HAMP,Hampton National Historic Site,National Historic Site," 26,921 ",1987
MA,ADAM,Adams National Historical Park,National Historical Park," 25,617 ",1987
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site," 25,407 ",1987
AL,RUCA,Russell Cave National Monument,National Monument," 24,959 ",1987
RI,ROWI,Roger Williams National Memorial,National Memorial," 21,875 ",1987
VA,BOWA,Booker T. Washington National Monument,National Monument," 20,588 ",1987
SC,CONG,Congaree National Park,National Park," 20,312 ",1987
WY,FOBU,Fossil Butte National Monument,National Monument," 19,635 ",1987
MD,CLBA,Clara Barton National Historic Site,National Historic Site," 18,592 ",1987
UT,HOVE,Hovenweep National Monument,National Monument," 18,579 ",1987
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site," 17,273 ",1987
NY,WORI,Women's Rights National Historical Park,National Historical Park," 17,012 ",1987
AK,LACL,Lake Clark National Park,National Park," 16,418 ",1987
AK,LACL,Lake Clark National Preserve,National Preserve," 16,418 ",1987
FL,DRTO,Dry Tortugas National Park,National Park," 16,315 ",1987
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site," 16,265 ",1987
PA,FRHI,Friendship Hill National Historic Site,National Historic Site," 16,232 ",1987
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site," 15,951 ",1987
NM,FOUN,Fort Union National Monument,National Monument," 14,435 ",1987
MA,SPAR,Springfield Armory National Historic Site,National Historic Site," 13,705 ",1987
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site," 12,681 ",1987
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site," 11,684 ",1987
NE,AGFO,Agate Fossil Beds National Monument,National Monument," 11,439 ",1987
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site," 11,124 ",1987
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial," 7,855 ",1987
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site," 7,315 ",1987
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site," 6,772 ",1987
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River," 6,722 ",1987
AK,CAKR,Cape Krusenstern National Monument,National Monument," 6,110 ",1987
AK,NOAT,Noatak National Preserve,National Preserve," 4,475 ",1987
VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site," 4,432 ",1987
OH,WIHO,William Howard Taft National Historic Site,National Historic Site," 3,683 ",1987
CA,EUON,Eugene O'Neill National Historic Site,National Historic Site," 3,529 ",1987
TX,ALFL,Alibates Flint Quarries National Monument,National Monument," 2,494 ",1987
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve," 1,789 ",1987
AK,GAAR,Gates of the Arctic National Park,National Park," 1,060 ",1987
AK,GAAR,Gates of the Arctic National Preserve,National Preserve," 1,060 ",1987
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River, 743 ,1987
AK,KOVA,Kobuk Valley National Park,National Park, 230 ,1987
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area," 21,582,368 ",1986
NC,BLRI,Blue Ridge Parkway,Parkway," 17,076,150 ",1986
MS,NATR,Natchez Trace Parkway,Parkway," 14,364,008 ",1986
NC,GRSM,Great Smoky Mountains National Park,National Park," 9,836,306 ",1986
VA,GWMP,George Washington Memorial Parkway,National Parkway," 9,097,082 ",1986
NY,GATE,Gateway National Recreation Area,National Recreation Area," 8,902,610 ",1986
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area," 7,753,333 ",1986
FL,GUIS,Gulf Islands National Seashore,National Seashore," 7,646,201 ",1986
DC,NACA,National Capital Parks,Park," 6,599,396 ",1986
DC,VIVE,Vietnam Veterans Memorial,National Memorial," 5,355,354 ",1986
PA,INDE,Independence National Historical Park,National Historical Park," 4,964,318 ",1986
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park," 4,895,961 ",1986
PA,VAFO,Valley Forge National Historical Park,National Historical Park," 4,225,618 ",1986
MA,CACO,Cape Cod National Seashore,National Seashore," 3,991,213 ",1986
DC,LINC,Lincoln Memorial,National Memorial," 3,972,460 ",1986
ME,ACAD,Acadia National Park,National Park," 3,929,054 ",1986
DC,JEFM,Thomas Jefferson Memorial,National Memorial," 3,273,574 ",1986
AZ,GRCA,Grand Canyon National Park,National Park," 3,035,787 ",1986
WA,OLYM,Olympic National Park,National Park," 2,940,034 ",1986
CA,YOSE,Yosemite National Park,National Park," 2,876,717 ",1986
MD,ASIS,Assateague Island National Seashore,National Seashore," 2,452,652 ",1986
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area," 2,438,898 ",1986
CO,ROMO,Rocky Mountain National Park,National Park," 2,408,234 ",1986
WY,YELL,Yellowstone National Park,National Park," 2,363,756 ",1986
MO,JEFF,Jefferson National Expansion Memorial,National Memorial," 2,311,147 ",1986
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area," 2,247,087 ",1986
PR,SAJU,San Juan National Historic Site,National Historic Site," 2,230,500 ",1986
NY,CACL,Castle Clinton National Monument,National Monument," 2,213,555 ",1986
DC,ROCR,Rock Creek Park,Park," 2,188,249 ",1986
CA,PORE,Point Reyes National Seashore,National Seashore," 2,053,399 ",1986
VA,COLO,Colonial National Historical Park,National Historical Park," 1,990,230 ",1986
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area," 1,983,835 ",1986
NY,STLI,Statue Of Liberty National Monument,National Monument," 1,923,692 ",1986
VA,SHEN,Shenandoah National Park,National Park," 1,843,985 ",1986
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area," 1,728,722 ",1986
CA,CABR,Cabrillo National Monument,National Monument," 1,687,899 ",1986
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore," 1,676,583 ",1986
UT,ZION,Zion National Park,National Park," 1,670,503 ",1986
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area," 1,670,336 ",1986
SD,MORU,Mount Rushmore National Memorial,National Memorial," 1,648,737 ",1986
KY,MACA,Mammoth Cave National Park,National Park," 1,646,673 ",1986
MA,BOST,Boston National Historical Park,National Historical Park," 1,642,367 ",1986
MT,GLAC,Glacier National Park,National Park," 1,579,151 ",1986
NC,CAHA,Cape Hatteras National Seashore,National Seashore," 1,535,913 ",1986
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area," 1,406,693 ",1986
CA,MUWO,Muir Woods National Monument,National Monument," 1,399,636 ",1986
PA,GETT,Gettysburg National Military Park,National Military Park," 1,363,161 ",1986
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway," 1,351,018 ",1986
WY,GRTE,Grand Teton National Park,National Park," 1,306,322 ",1986
WA,MORA,Mount Rainier National Park,National Park," 1,298,457 ",1986
HI,VALR,World War II Valor in the Pacific National Monument,National Monument," 1,281,356 ",1986
HI,HALE,Haleakala National Park,National Park," 1,281,219 ",1986
CA,FOPO,Fort Point National Historic Site,National Historic Site," 1,274,667 ",1986
DC,WAMO,Washington Monument,National Memorial," 1,271,214 ",1986
MA,MIMA,Minute Man National Historical Park,National Historical Park," 1,208,554 ",1986
TX,AMIS,Amistad National Recreation Area,National Recreation Area," 1,206,669 ",1986
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial," 1,176,096 ",1986
AR,HOSP,Hot Springs National Park,National Park," 1,175,170 ",1986
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 1,157,127 ",1986
DC,WHHO,White House,Other Designation," 1,148,290 ",1986
FL,CANA,Canaveral National Seashore,National Seashore," 1,136,380 ",1986
CO,CURE,Curecanti National Recreation Area,National Recreation Area," 1,114,756 ",1986
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway," 1,089,092 ",1986
LA,VICK,Vicksburg National Military Park,National Military Park," 1,066,054 ",1986
CA,SEQU,Sequoia National Park,National Park," 1,056,527 ",1986
OH,CUVA,Cuyahoga Valley National Park,National Park," 1,042,148 ",1986
CA,KICA,Kings Canyon National Park,National Park," 1,028,785 ",1986
SD,BADL,Badlands National Park,National Park," 1,025,630 ",1986
AR,BUFF,Buffalo National River,National River," 972,516 ",1986
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 907,747 ",1986
HI,HAVO,Hawai'i Volcanoes National Park,National Park," 898,023 ",1986
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 838,881 ",1986
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 810,114 ",1986
MA,LOWE,Lowell National Historical Park,National Historical Park," 802,479 ",1986
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 793,274 ",1986
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area," 790,311 ",1986
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 788,593 ",1986
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 786,153 ",1986
CA,JOTR,Joshua Tree National Park,National Park," 783,224 ",1986
VI,VIIS,Virgin Islands National Park,National Park," 766,458 ",1986
AZ,PEFO,Petrified Forest National Park,National Park," 761,257 ",1986
NM,CAVE,Carlsbad Caverns National Park,National Park," 752,552 ",1986
FL,EVER,Everglades National Park,National Park," 739,072 ",1986
FL,CASA,Castillo de San Marcos National Monument,National Monument," 732,882 ",1986
TX,PAIS,Padre Island National Seashore,National Seashore," 708,932 ",1986
MD,ANTI,Antietam National Battlefield,National Battlefield," 706,720 ",1986
WA,NOCA,North Cascades National Park,National Park," 683,056 ",1986
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 673,861 ",1986
NM,WHSA,White Sands National Monument,National Monument," 666,879 ",1986
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park," 665,582 ",1986
CO,MEVE,Mesa Verde National Park,National Park," 658,888 ",1986
AZ,MOCA,Montezuma Castle National Monument,National Monument," 642,027 ",1986
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore," 634,435 ",1986
NC,WRBR,Wright Brothers National Memorial,National Memorial," 630,779 ",1986
AZ,SAGU,Saguaro National Park,National Park," 613,651 ",1986
CA,DEVA,Death Valley National Park,National Park," 586,668 ",1986
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site," 582,582 ",1986
UT,BRCA,Bryce Canyon National Park,National Park," 578,018 ",1986
FL,BISC,Biscayne National Park,National Park," 578,013 ",1986
AZ,CACH,Canyon de Chelly National Monument,National Monument," 568,989 ",1986
CA,REDW,Redwood National Park,National Park," 567,849 ",1986
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park," 539,294 ",1986
NJ,MORR,Morristown National Historical Park,National Historical Park," 534,064 ",1986
AK,DENA,Denali National Park,National Park," 529,749 ",1986
AK,DENA,Denali National Preserve,National Park," 529,749 ",1986
VA,PETE,Petersburg National Battlefield,National Battlefield," 524,827 ",1986
NY,FIIS,Fire Island National Seashore,National Seashore," 522,672 ",1986
MD,CATO,Catoctin Mountain Park,Other Designation," 516,626 ",1986
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area," 516,064 ",1986
SD,WICA,Wind Cave National Park,National Park," 483,334 ",1986
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 481,546 ",1986
GA,FOPU,Fort Pulaski National Monument,National Monument," 480,859 ",1986
NY,FEHA,Federal Hall National Memorial,National Memorial," 466,394 ",1986
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area," 455,228 ",1986
VA,PRWI,Prince William Forest Park,Park," 449,660 ",1986
IL,LIHO,Lincoln Home National Historic Site,National Historic Site," 440,775 ",1986
CA,LAVO,Lassen Volcanic National Park,National Park," 439,723 ",1986
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway," 438,772 ",1986
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park," 432,400 ",1986
CO,DINO,Dinosaur National Monument,National Monument," 430,891 ",1986
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 426,454 ",1986
UT,CEBR,Cedar Breaks National Monument,National Monument," 425,732 ",1986
UT,ARCH,Arches National Park,National Park," 419,444 ",1986
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore," 406,619 ",1986
OR,CRLA,Crater Lake National Park,National Park," 402,789 ",1986
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 395,597 ",1986
VA,NERI,New River Gorge National River,National River," 394,079 ",1986
ND,THRO,Theodore Roosevelt National Park,National Park," 390,553 ",1986
UT,CARE,Capitol Reef National Park,National Park," 383,742 ",1986
FL,FOMA,Fort Matanzas National Monument,National Monument," 368,794 ",1986
CO,COLM,Colorado National Monument,National Monument," 361,576 ",1986
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 327,942 ",1986
MS,SHIL,Shiloh National Battlefield,National Battlefield," 325,958 ",1986
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 323,784 ",1986
MD,GREE,Greenbelt Park,Other Designation," 311,053 ",1986
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site," 310,693 ",1986
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park," 308,124 ",1986
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 302,470 ",1986
MD,FOWA,Fort Washington Park,Other Designation," 299,413 ",1986
WY,DETO,Devils Tower National Monument,National Monument," 290,532 ",1986
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 289,117 ",1986
UT,RABR,Rainbow Bridge National Monument,National Monument," 283,597 ",1986
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 280,620 ",1986
SC,FOSU,Fort Sumter National Monument,National Monument," 277,588 ",1986
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 275,450 ",1986
MO,WICR,Wilson's Creek National Battlefield,National Battlefield," 270,384 ",1986
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 263,145 ",1986
GA,FOFR,Fort Frederica National Monument,National Monument," 262,653 ",1986
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 259,622 ",1986
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 252,943 ",1986
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park," 250,410 ",1986
NM,BAND,Bandelier National Monument,National Monument," 237,977 ",1986
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site," 223,940 ",1986
CO,GRSA,Great Sand Dunes National Park,National Park," 221,449 ",1986
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 221,449 ",1986
SC,KIMO,Kings Mountain National Military Park,National Military Park," 221,157 ",1986
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 219,912 ",1986
GA,OCMU,Ocmulgee National Monument,National Monument," 214,853 ",1986
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial," 212,002 ",1986
TN,STRI,Stones River National Battlefield,National Battlefield," 210,335 ",1986
