State,Unit Code,Unit Name,Unit Type, Visitors ,Year
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River," 264,362 ",2016
SC,KIMO,Kings Mountain National Military Park,National Military Park," 263,357 ",2016
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial," 260,234 ",2016
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area," 259,485 ",2016
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 259,343 ",2016
MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area," 256,944 ",2016
ID,CRMO,Craters of the Moon National Monument,National Monument," 255,436 ",2016
DC,WAMO,Washington Monument,National Memorial," 252,677 ",2016
NJ,MORR,Morristown National Historical Park,National Historical Park," 252,514 ",2016
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 252,495 ",2016
MN,VOYA,Voyageurs National Park,National Park," 241,912 ",2016
WA,NEPE,Nez Perce National Historical Park,National Historical Park," 239,908 ",2016
IL,LIHO,Lincoln Home National Historic Site,National Historic Site," 239,719 ",2016
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 238,018 ",2016
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 234,186 ",2016
FL,DESO,De Soto National Memorial,National Memorial," 232,463 ",2016
FL,FOCA,Fort Caroline National Memorial,National Memorial," 232,082 ",2016
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River," 231,390 ",2016
AZ,WUPA,Wupatki National Monument,National Monument," 223,172 ",2016
MD,CATO,Catoctin Mountain Park,Other Designation," 221,750 ",2016
AK,SITK,Sitka National Historical Park,National Historical Park," 217,141 ",2016
CA,PINN,Pinnacles National Park,National Park," 215,555 ",2016
SC,COWP,Cowpens National Battlefield,National Battlefield," 213,299 ",2016
OR,JODA,John Day Fossil Beds National Monument,National Monument," 210,110 ",2016
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 208,969 ",2016
MS,NATC,Natchez National Historical Park,National Historical Park," 204,120 ",2016
MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park," 202,375 ",2016
MA,ADAM,Adams National Historical Park,National Historical Park," 199,301 ",2016
NM,BAND,Bandelier National Monument,National Monument," 198,478 ",2016
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site," 193,272 ",2016
GA,FOFR,Fort Frederica National Monument,National Monument," 192,906 ",2016
TX,BITH,Big Thicket National Preserve,National Preserve," 192,809 ",2016
VA,PETE,Petersburg National Battlefield,National Battlefield," 191,898 ",2016
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site," 189,371 ",2016
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park," 185,041 ",2016
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore," 183,796 ",2016
MO,WICR,Wilson's Creek National Battlefield,National Battlefield," 183,698 ",2016
TX,GUMO,Guadalupe Mountains National Park,National Park," 181,839 ",2016
NJ,PAGR,Paterson Great Falls National Historical Park,National Historical Park," 177,498 ",2016
DC,THIS,Theodore Roosevelt Island,National Memorial," 164,360 ",2016
AR,FOSM,Fort Smith National Historic Site,National Historic Site," 163,636 ",2016
GA,OCMU,Ocmulgee National Monument,National Monument," 162,260 ",2016
NM,ELMA,El Malpais National Monument,National Monument," 157,440 ",2016
PA,JOFL,Johnstown Flood National Memorial,National Memorial," 154,931 ",2016
AZ,WACA,Walnut Canyon National Monument,National Monument," 152,444 ",2016
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site," 152,382 ",2016
SD,MNRR,Missouri National Recreation River,National Recreation River," 148,210 ",2016
TX,CHAM,Chamizal National Memorial,National Memorial," 147,937 ",2016
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park," 145,500 ",2016
NV,GRBA,Great Basin National Park,National Park," 144,846 ",2016
SC,CONG,Congaree National Park,National Park," 143,843 ",2016
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial," 142,152 ",2016
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park," 140,303 ",2016
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site," 138,565 ",2016
MD,GREE,Greenbelt Park,Other Designation," 137,900 ",2016
SD,JECA,Jewel Cave National Monument,National Monument," 137,275 ",2016
AZ,CORO,Coronado National Memorial,National Memorial," 136,075 ",2016
CA,DEPO,Devils Postpile National Monument,National Monument," 135,404 ",2016
GA,ANDE,Andersonville National Historic Site,National Historic Site," 134,216 ",2016
SD,MIMI,Minuteman Missile National Historic Site,National Historic Site," 133,895 ",2016
NE,SCBL,Scotts Bluff National Monument,National Monument," 130,085 ",2016
VA,GEWA,George Washington Birthplace National Monument,National Monument," 129,750 ",2016
AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site," 129,540 ",2016
CA,LABE,Lava Beds National Monument,National Monument," 127,699 ",2016
IN,GERO,George Rogers Clark National Historical Park,National Historical Park," 126,095 ",2016
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial," 125,562 ",2016
NM,PETR,Petroglyph National Monument,National Monument," 124,177 ",2016
MD,PISC,Piscataway Park,Other Designation," 123,381 ",2016
AR,PERI,Pea Ridge National Military Park,National Military Park," 119,490 ",2016
SC,NISI,Ninety Six National Historic Site,National Historic Site," 118,002 ",2016
WV,GARI,Gauley River National Recreation Area,National Recreation Area," 115,888 ",2016
VI,CHRI,Christiansted National Historic Site,National Historic Site," 115,446 ",2016
NY,GEGR,General Grant National Memorial,National Memorial," 109,151 ",2016
ID,CIRO,City of Rocks National Reserve,National Reserve," 107,865 ",2016
CA,MANZ,Manzanar National Historic Site,National Historic Site," 105,307 ",2016
NM,MAPR,Manhattan Project National Historical Park,National Historical Park," 104,715 ",2016
AZ,TUZI,Tuzigoot National Monument,National Monument," 104,604 ",2016
NY,SARA,Saratoga National Historical Park,National Historical Park," 102,808 ",2016
UT,NABR,Natural Bridges National Monument,National Monument," 101,843 ",2016
PA,STEA,Steamtown National Historic Site,National Historic Site," 99,660 ",2016
MI,GRPO,Grand Portage National Monument,National Monument," 95,862 ",2016
OH,DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park," 95,334 ",2016
NY,FOST,Fort Stanwix National Monument,National Monument," 94,006 ",2016
UT,TICA,Timpanogos Cave National Monument,National Monument," 91,261 ",2016
NE,HOME,Homestead National Monument of America,National Monument," 87,755 ",2016
MD,MONO,Monocacy National Battlefield,National Battlefield," 87,547 ",2016
UT,RABR,Rainbow Bridge National Monument,National Monument," 86,369 ",2016
NY,HAGR,Hamilton Grange National Memorial,National Memorial," 85,348 ",2016
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 83,889 ",2016
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 83,370 ",2016
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site," 80,696 ",2016
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument," 80,613 ",2016
AK,WRST,Wrangell-St. Elias National Park,National Park," 79,047 ",2016
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve," 79,047 ",2016
IA,EFMO,Effigy Mounds National Monument,National Monument," 77,195 ",2016
AZ,CAGR,Casa Grande Ruins National Monument,National Monument," 75,752 ",2016
NE,NIOB,Niobrara National Scenic River,National Scenic River," 73,813 ",2016
FL,DRTO,Dry Tortugas National Park,National Park," 73,661 ",2016
CO,FLFO,Florissant Fossil Beds National Monument,National Monument," 73,564 ",2016
HI,KALA,Kalaupapa National Historical Park,National Historical Park," 71,527 ",2016
TX,WACO,Waco Mammoth National Monument,National Monument," 69,510 ",2016
MN,PIPE,Pipestone National Monument,National Monument," 67,489 ",2016
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site," 67,387 ",2016
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site," 67,276 ",2016
GA,JICA,Jimmy Carter National Historic Site,National Historic Site," 66,441 ",2016
AZ,NAVA,Navajo National Monument,National Monument," 65,705 ",2016
RI,ROWI,Roger Williams National Memorial,National Memorial," 65,588 ",2016
CA,RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park," 64,425 ",2016
NY,ELRO,Eleanor Roosevelt National Historic Site,National Historic Site," 63,480 ",2016
GA,CUIS,Cumberland Island National Seashore,National Seashore," 61,896 ",2016
TX,FODA,Fort Davis National Historic Site,National Historic Site," 61,823 ",2016
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 60,233 ",2016
NM,CAVO,Capulin Volcano National Monument,National Monument," 60,132 ",2016
UT,GOSP,Golden Spike National Historic Site,National Historic Site," 60,027 ",2016
NM,ELMO,El Morro National Monument,National Monument," 59,422 ",2016
TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park," 58,556 ",2016
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 58,058 ",2016
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 57,694 ",2016
NM,AZRU,Aztec Ruins National Monument,National Monument," 57,692 ",2016
WY,FOLA,Fort Laramie National Historic Site,National Historic Site," 57,444 ",2016
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park," 55,716 ",2016
PA,EISE,Eisenhower National Historic Site,National Historic Site," 55,550 ",2016
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site," 54,167 ",2016
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 54,084 ",2016
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site," 53,920 ",2016
SC,CHPI,Charles Pinckney National Historic Site,National Historic Site," 53,184 ",2016
NY,WORI,Women's Rights National Historical Park,National Historical Park," 52,683 ",2016
AZ,CHIR,Chiricahua National Monument,National Monument," 51,277 ",2016
WA,WHMI,Whitman Mission National Historic Site,National Historic Site," 50,148 ",2016
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site," 49,697 ",2016
CA,JOMU,John Muir National Historic Site,National Historic Site," 49,376 ",2016
AZ,PISP,Pipe Spring National Monument,National Monument," 46,710 ",2016
NY,AFBG,African Burial Ground National Monument,National Monument," 46,526 ",2016
MO,GWCA,George Washington Carver National Monument,National Monument," 46,397 ",2016
MO,ULSG,Ulysses S. Grant National Historic Site,National Historic Site," 46,071 ",2016
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 45,937 ",2016
WA,LACH,Lake Chelan National Recreation Area,National Recreation Area," 45,514 ",2016
OH,JAGA,James A. Garfield National Historic Site,National Historic Site," 45,437 ",2016
AZ,TUMA,Tumacacori National Historical Park,National Historical Park," 43,829 ",2016
UT,HOVE,Hovenweep National Monument,National Monument," 42,862 ",2016
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site," 42,377 ",2016
MT,BIHO,Big Hole National Battlefield,National Battlefield," 41,795 ",2016
NM,GICL,Gila Cliff Dwellings National Monument,National Monument," 41,519 ",2016
NM,PECO,Pecos National Historical Park,National Historical Park," 39,715 ",2016
CT,WEFA,Weir Farm National Historic Site,National Historic Site," 39,079 ",2016
VI,BUIS,Buck Island Reef National Monument,National Monument," 38,929 ",2016
AZ,TONT,Tonto National Monument,National Monument," 38,048 ",2016
PA,FRHI,Friendship Hill National Historic Site,National Historic Site," 37,847 ",2016
AK,KATM,Katmai National Park,National Park," 37,818 ",2016
AK,KATM,Katmai National Preserve,National Preserve," 37,818 ",2016
MD,HAMP,Hampton National Historic Site,National Historic Site," 34,942 ",2016
MO,HSTR,Harry S Truman National Historic Site,National Historic Site," 34,616 ",2016
AR,ARPO,Arkansas Post National Memorial,National Memorial," 34,405 ",2016
WV,BLUE,Bluestone National Scenic River,National Scenic River," 34,139 ",2016
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 32,414 ",2016
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site," 31,948 ",2016
AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site," 31,133 ",2016
KS,FOLS,Fort Larned National Historic Site,National Historic Site," 31,060 ",2016
OH,WIHO,William Howard Taft National Historic Site,National Historic Site," 30,723 ",2016
KS,TAPR,Tallgrass Prairie National Preserve,National Preserve," 29,378 ",2016
KS,FOSC,Fort Scott National Historic Site,National Historic Site," 29,291 ",2016
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site," 29,199 ",2016
AS,NPSA,National Park of American Samoa,National Park," 28,892 ",2016
WA,NOCA,North Cascades National Park,National Park," 28,646 ",2016
KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site," 27,968 ",2016
LA,CARI,Cane River Creole National Historical Park,National Historical Park," 26,863 ",2016
ID,HAFO,Hagerman Fossil Beds National Monument,National Monument," 25,982 ",2016
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site," 25,467 ",2016
MI,ISRO,Isle Royale National Park,National Park," 24,966 ",2016
AL,RUCA,Russell Cave National Monument,National Monument," 24,649 ",2016
VA,BOWA,Booker T. Washington National Monument,National Monument," 23,440 ",2016
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site," 23,176 ",2016
MA,SPAR,Springfield Armory National Historic Site,National Historic Site," 22,434 ",2016
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site," 22,100 ",2016
AK,LACL,Lake Clark National Park,National Park," 21,102 ",2016
AK,LACL,Lake Clark National Preserve,National Preserve," 21,102 ",2016
NY,SAPA,Saint Paul's Church National Historic Site,National Historic Site," 20,830 ",2016
WY,FOBU,Fossil Butte National Monument,National Monument," 20,737 ",2016
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site," 17,502 ",2016
CA,CECH,Casar E. Chpvez National Monument,National Monument," 17,216 ",2016
AK,NOAT,Noatak National Preserve,National Preserve," 17,000 ",2016
VI,SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park," 16,449 ",2016
NE,AGFO,Agate Fossil Beds National Monument,National Monument," 15,555 ",2016
AK,KOVA,Kobuk Valley National Park,National Park," 15,500 ",2016
AK,CAKR,Cape Krusenstern National Monument,National Monument," 15,000 ",2016
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site," 14,827 ",2016
