Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,94329,179215,Active,Leucosticte tephrocotis,Gray-crowned rosy-finch,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,95311,179259,Active,Loxia curvirostra,Red crossbill,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,83794,179268,Active,Loxia leucoptera,White-winged crossbill,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,94318,179205,Active,Pinicola enucleator,Pine grosbeak,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Hirundinidae,87396,178436,Active,Riparia riparia,Bank swallow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Hirundinidae,87391,178431,Active,Tachycineta bicolor,Tree swallow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Hirundinidae,87386,178427,Active,Tachycineta thalassina,Violet-green swallow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Icteridae,93664,179091,Active,Euphagus carolinus,Rusty blackbird,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Laniidae,88273,178511,Active,Lanius excubitor,Northern shrike,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Motacillidae,266934,554127,Active,Anthus rubescens,"American Pipit, Water Pipit",Anthus spinoletta,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Paridae,265874,554382,Active,Poecile atricapillus,Black-capped Chickadee,Parus atricapillus,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Paridae,626496,726112,Active,Poecile hudsonica,Boreal Chickadee,Parus hudsonicus,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Paridae,265884,554387,Active,Poecile rufescens,Chestnut-backed chickadee,Parus rufescens,Present
